,Features
354,R_parahippocampal_surfavg
355,R_paracentral_surfavg
356,R_parsopercularis_surfavg
357,R_parsorbitalis_surfavg
358,R_parstriangularis_surfavg
359,R_pericalcarine_surfavg
360,R_postcentral_surfavg
361,R_posteriorcingulate_surfavg
362,R_precentral_surfavg
363,R_precuneus_surfavg
364,R_rostralanteriorcingulate_surfavg
365,R_rostralmiddlefrontal_surfavg
366,R_superiorfrontal_surfavg
367,R_superiorparietal_surfavg
368,R_superiortemporal_surfavg
369,R_supramarginal_surfavg
370,R_frontalpole_surfavg
371,R_temporalpole_surfavg
372,R_transversetemporal_surfavg
373,R_insula_surfavg
374,R_bankssts_grayvol
375,R_caudalanteriorcingulate_grayvol
376,R_caudalmiddlefrontal_grayvol
377,R_cuneus_grayvol
378,R_entorhinal_grayvol
379,R_fusiform_grayvol
380,R_inferiorparietal_grayvol
381,R_inferiortemporal_grayvol
382,R_isthmuscingulate_grayvol
383,R_lateraloccipital_grayvol
384,R_lateralorbitofrontal_grayvol
385,R_lingual_grayvol
386,R_medialorbitofrontal_grayvol
387,R_middletemporal_grayvol
388,R_parahippocampal_grayvol
389,R_paracentral_grayvol
390,R_parsopercularis_grayvol
391,R_parsorbitalis_grayvol
392,R_parstriangularis_grayvol
393,R_pericalcarine_grayvol
394,R_postcentral_grayvol
395,R_posteriorcingulate_grayvol
396,R_precentral_grayvol
397,R_precuneus_grayvol
398,R_rostralanteriorcingulate_grayvol
399,R_rostralmiddlefrontal_grayvol
400,R_superiorfrontal_grayvol
401,R_superiorparietal_grayvol
402,R_superiortemporal_grayvol
403,R_supramarginal_grayvol
404,R_frontalpole_grayvol
405,R_temporalpole_grayvol
406,R_transversetemporal_grayvol
407,R_insula_grayvol
408,R_bankssts_thickstd
409,R_caudalanteriorcingulate_thickstd
410,R_caudalmiddlefrontal_thickstd
411,R_cuneus_thickstd
412,R_entorhinal_thickstd
413,R_fusiform_thickstd
414,R_inferiorparietal_thickstd
415,R_inferiortemporal_thickstd
416,R_isthmuscingulate_thickstd
417,R_lateraloccipital_thickstd
418,R_lateralorbitofrontal_thickstd
419,R_lingual_thickstd
420,R_medialorbitofrontal_thickstd
421,R_middletemporal_thickstd
422,R_parahippocampal_thickstd
423,R_paracentral_thickstd
424,R_parsopercularis_thickstd
425,R_parsorbitalis_thickstd
426,R_parstriangularis_thickstd
427,R_pericalcarine_thickstd
428,R_postcentral_thickstd
429,R_posteriorcingulate_thickstd
430,R_precentral_thickstd
431,R_precuneus_thickstd
